Name,Site,Tour Order,Category,Site Description,History and Importance to Project and Community,Media (Site Image),Media (Other Image),Media (Video),Media (Audio),Media (Other),Archive Link,"Address (Number, Street, Town, State, Zip)",Coordinates,Contributor,X,Y
"Brodbeck, May",Home,,Academic,"This is the former home of May Brodbeck, which is a private residence.","May Brodbeck was internationally known for her work in philosophy. She also participated as a chemist on the Mahnattan project (which created the atomic bomb). She was a strong advocate for recruiting women to the staff at the University of Iowa, as well as teaching and research.",media/images/Brodbeck_May_Other_Image_2.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2780,"201 N 1st Ave, Iowa City, IA 52245","41.66427871,-91.5021946","Van Arnum, Katherine and Zucker, Allie",-91.5021946,41.66427871
"Canter, Miriam",Iowa Hancher Auditorium,,Artist/Author/Filmmaker,This is the place that Miriam Canter often frequented to bring baked goods to the employees. She frequently went to events at Hancher. ,"Miriam Canter would bring baked goods to the Hancher staff often. Everyone there loved her visits and her rum balls appeared to be a top hit. Hancher employees would often create cute and fun thank you notes for Canter to show their appreciation. Lots of the baked goods that Canter would share were dervied from Jewish culture. Canter received many awards and recognition for all her community involvement. She received one from the University of Iowa because her 10,000+ hours of volunteering. Not only was she known for her volunteering but she was also known for sharing all of her treats she cooked and gave out. ",media/images/hancher_auditorium.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2966,"141 Park Road, Iowa City, IA 52242","41.670445,-91.5373654","Tegtmeier, Natalie and Skaggs, Ella",-91.5373654,41.670445
"Canter, Miriam",Home,,Artist/Author/Filmmaker,This has been the home of Miriam Canter for decades up until very recently. ,"Miriam Canter is a Jewish woman age 99 living in the Iowa City area. She was born in Cedar Rapids, IA in 1922. She went to City High and then the University of Iowa for a year and then finished her degree of Latin American studies at the University of Minnesota. She married her husband, Arthur Canter, in 1946 and due to his academic career, they moved from Chicago to Tennessee to Detroit before returning to the Iowa City area in the 1960s. Canter was involved in many art organizations including creating the Hancher Guild to support the center. Not only was she involved at Hancher but she also worked at the Old capital and supported local art. Canter supported the establishment of the opera company in Cedar Rapids which helps the University opera. Her love for the arts came from her mother who exposed her to the importance of the art community from a young age. Her mother also exposed her to amazing cooking from a young age, this encouraged her to cook with her mom and carry on her cooking later in which led to her many published cookbooks. During WWII, she volunteered in the signal corps translating and cracking codes from Japan. Her office was to receive the message saying that Japan surrenders. She has shared that it was such an exciting thing to be apart of breaking the code, that it was exciting to be in Washington D.C and that it was just a really great way to participate in the war. The artifacts are pieces of silk that her husband sent her from Germany in WWII that were used in a wedding dress. The castle card has her maiden name on it and the manilla folder is library records. Miriam's home was where she cultivated her cooking books and honed her craft. ",media/images/canters.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2966,"30 Brookfield Dr, Iowa City, 52245","41.66214203,-91.5138598","Tegtmeier, Natalie and Skaggs, Ella",-91.5138598,41.66214203
Chapman Family,Englert Theater,,Business,The business bought by Nate Chapman in 1921. The family would continue to own and run it for years after he died.,"After being sold to a person who owned a bar and planned to turn it into a club, a local organiztion swooped in and saved the theater. Funds were raised and in 2004 the theater re-opened.",media/images/Chapman_Family.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2860 ; https://englert.org/iowa-city-theatre-mission-history/ ,"221 E. Washington St, Iowa City, IA 52240","41.6600278,-91.53195129","Hedrick, Abigale, Suen, Allison, Zieba, Carmen",-91.53195129,41.6600278
"Engle, Paul",Home,,Artist/Author/Filmmaker,"This is the home of Paul, Engle, a poet who strengthened the Iowa Writers' Workshop and co-founded the International Writing Program with Hualing Nieh.","The success of the Iowa Writers Workshop is largely accredited to the efforts of Engle during his 24 years as the director of the program. During this time, he recruited several influential writers to become faculuty who also left lasting impressoins on the students in the program. In addition to his influence within Iowa City, Engle's collection of poems and books impacted the world. Along with Hualing Nieh, Engle was nominated for a Nobel Peace Prize because of their ""efforts to bring peace and understanding to the world by bringing writers of every country, language and culture to their program in Iowa City.""",media/images/Engle_Paul_Other_Image_1.jpeg,,https://www.youtube.com/watch?v=Or8G1mTR0_s&t=459s,https://www.youtube.com/watch?v=R6fpN2g3pwY&t=1s,https://www.iowacityofliterature.org/paul-engle-prize/ : This is a link to information about the Paul Engle Prize,https://aspace.lib.uiowa.edu/repositories/2/resources/489,"1218 Friendly Avenue, Iowa City, IA 52240","41.64676308,-91.51808045","Poppen, Jeremiah and Duesing, Kenna",-91.51808045,41.64676308
"Kollman, Gusti",Home - 617 Seventh Ave. NW Mount Vernon,,Holocaust Survivor,This is the home of Gusti Kollman and her husband Eric's house in Mount Vernon. Eric taught at Cornell college. Him and Gusti were long time Mount Vernon residents after she fled there from Austria to escape jewish persecution. ,"Gusti and her husband were both professors at Cornell College. In her orbituary, it says she was not a famous actress or politition, but she emenated joy and shared love to everyone she met. She was born in Vienna, Austria in 1912. She escaped to Iowa to avoid jewish persecuation. She first came to Fairfield, Iowa, where she taught american soliders German while on their way to war. She was a leader in the league of female voters, making sure everyone had a fair opportunity to vote. “we were given the gift of life when so many died, and we will not spend one minute putting hate into the world. It is only in seeing the good in others who are different that we can stop holocausts from happening”.",media/images/Unidentified-House-44.jpg,,,,,https://www.legacy.com/us/obituaries/thegazette/name/gusti-kollman-obituary?id=12664477,"617 7th St NW, Mt Vernon, IA 52314","41.92781845,-91.42062127","Emma Sueppel, Kate Milder",-91.42062127,41.92781845
Hillel,Hillel House,,Religious Organization,"Hillel is a hub for Jewish students on campus in Iowa City. This is a place where students can go to become more involved with their faith and to learn more about Judaism. This organization does a phenomenal job of exposing the Jewish faith to the University of Iowa student body and welcomes anyone, no matter their experience or knowledge and encourages growth and learning. ","In the early 1900s as the number of students attending the university had started to rise, there was also an increase in Jewish students around Iowa City. As the Jewish community continued to grow, Hillel was formed in order to give these Jewish students a place to congregate. The Hiilel House has moved around Iowa City a few times throughout its history, and through the approximate 100 years, has likely and hopfeully found its permanent location. ",media/images/Hillel_Other_Image_1.jpg,,https://youtu.be/SM8AsNjognA,https://www.facebook.com/iowahillelpage/videos/gabi-koren-now-and-forever/2139252663053589/,https://www.iowahillel.org/ : A link to the University of Iowa's Hillel Club ,https://aspace.lib.uiowa.edu/repositories/3/archival_objects/262083,"122 E. Market Street, Iowa City, Iowa 52245","41.66390735,-91.53342435","Wilson, Alex & Carter, Jackson & Feramil, Tiel",-91.53342435,41.66390735
"Jacobs, Richard",College of Dentistry,,Academic,"This is the workplace of Richards Jacobs, he is a Holocaust survivor who lived in the Warsaw Ghetto during WWII. In 1961, he finished his education at the University of California. In 1966 Dr. Jacobs became Professor of Orthodontics at the University of Iowa College of Dentistry. He served as Assistant Dean, Associate Dean and as the Acting Head of the Department of Oral Biology at the University of Iowa. ","In 1966, Dr. Jacobs became a Professor in Orthodontics at the College of Dentistry at the University of Iowa. Also, he was an Associate Dean, an Assistant Dean, and the Acting Head of the Department if Oral Biology. He is well known for his research and had written a number of publications on his research studies.",media/images/college_of_dentistry_1.png,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2981,"801 Newton Rd, Iowa City, IA 52242","41.663248,-91.550319","Turek, Olivia; Chan, Kate",-91.550319,41.663248
"Jacobs, Richard",Home,,Holocaust Survivor,"This is where Richard Jacobs lived when he was living in Iowa City, until he died of Parkinson's Diease in 2008. ","Richard's uncle Morris brought him to America. Morris was a practicing dentist and Richard studied dentistry and hoing his uncle's practice to become an American citizen. Richard decided he wanted to be an American solider to repay his new country for welcoming him. He joing the American army and as an Amry captain, he served in Germany, where he cared for the teeth of his fellow soliders. On July 19, 1965, Richard was sent a letter from F. B. Webster who was the the Regional Director for the Canadian Immigration Service in Vancouver. Webster states that they have been advised by the office of the President, University of British Columbia, that Richard has been appointed Associate Professer and Head of the Department of Orthodontics at the University of British Columbia. Then in 1966, he worked at the University of Iowa.",media/images/Richard_Jacobs_House_Image_1.JPG,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2981,"327, Ferson Ave, Iowa City, IA 52242","41.66813943,-91.54465442","Chan, Kate",-91.54465442,41.66813943
"Krim, Seymour",The University of Iowa - Writers' Workshop,,Artist/Author/Filmmaker,For several years during the early 1980s Seymour Krim served as the head of the Writers Workshop in Iowa City.,"He was a Jewish journalist and writer in New York who wrote a few pieces such as ""Missing a Beat"" and ""You & Me"".",media/images/Krim_Seymour_Other_Image_1.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/2/resources/364 ,"507 N. Clinton St, Iowa City, IA 52246","41.66757732,-91.53441399","Musser, Karli",-91.53441399,41.66757732
"Lavin, Mildred H",University of Iowa College of Education,,Academic,This is the location where Mildred H Lavin served as the Assistant Professor in the College of Education Division of Continuing Education.,"Mildred H. Lavin served as the Assistant Professor in the College of Education Division of Continuing Education at the University of Iowa. While she was at the university, she initiated the Bachelor of Liberal Arts program, a degree designed to meet the needs of non-traditional students. She also started the university's Evening and Saturday class programs. She was also heavily involved in a number of community groups, mostly devoted towards the advancement and support of the Jewish community, women, and higher education, and writing.",media/images/Lavin_Mildred_H.jpeg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2101,"240 S. Madison Street, Iowa City, Iowa 52240","41.65844545,-91.53724896",Payton Burg,-91.53724896,41.65844545
"Gelfand, Lawrence E.",The University of Iowa,,Academic,"The workplace of Gelfand, as he taught history at Iowa",Gelfand was Professor Emeritus of History at the University of Iowa and a leading diplomatic historian.,media/images/Schaeffer_Hall_1950.JPG,,,,,https://aspace.lib.uiowa.edu/repositories/3/resources/1609,"Schaeffer Hall, Iowa City, Iowa 52242","41.6607291,-91.53571797","Schultz, Brenna and Rogers, Jayden and Leech, Hannah",-91.53571797,41.6607291
"Lowenberg, Ina",The View from 70 Presentation,,Artist/Author/Filmmaker,"This is an area where Ms. Loewenberg presented about her book, ""The View from 70,"" about women who were born in the year 1933.","Many people were from Iowa, Ina herself is Jewish, and a few people that she interviewed were from Germany themselves.",media/images/centennial_building.jpg,,https://www.youtube.com/watch?v=rXArrCdixqY,,https://youtu.be/l_8L1-n5XAc?t=70,http://aspace.lib.uiowa.edu/repositories/4/resources/1933,"402 Iowa Ave, Iowa City, IA 52240","41.66111464,-91.53006081",Julia Christopher and Kylie Cooling,-91.53006081,41.66111464
"Nadler, David",Agudas Achim Congregation,,Artist/Author/Filmmaker,This is the location of David Nadler's Funeral. He attended services here for more than two decades prior to his death.,David was the son of Renate Nadler a Holocaust suvivor born in Austria who fled from the Nazis. David wrote a memoir honoring his mother's legacy.,media/images/David-Nadler.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/3288,"401 E. Oakdale Blvd, Coralville, IA 52241","41.7043027,-91.5869692","Flesner, Jack & Snyder, Alex",-91.5869691,41.7043027
"Toothpaste, Coffee House Records",The University of Iowa - Writers' Workshop,,Business,"Orginally, the Toothpaste Press was founded in Iowa City, Iowa by Allan and Cinda Kornblum in 1970. Allan studied poetry at The University of Iowa Writers' Workshop. He published poems in magazines throughout 1970s and early 80s. Toothpaste Press' origins began when the magazine Toothpaste, by Allan Kornblum, became popular. They moved the press to West Branch, Iowa to publish literary books. Then in 1984, the press moved to Minneapolis, Minnesota and took on a new name: Coffee House Press. During the time of the Toothpste press, seventy books plus pamphlets and more than one hundred sixty broadsides were published. ","Some Jewish books that were published by Coffee House Press have been recognized by the Jewish Book Council. JBC is an organization that supports and encourages Jewish literature. This group publishes Jewish Book World, which is a book that includes news, reviews, and information about new Jewish books of interest to people all around the world. The archives from the University of Iowa library show the intentions of Jewish Book World. Letters to the publishers show that they would have several people intrested in having different topics highlighted in the newer issues of the Jewish Book World. One issue that Ruth S. Frank brought to light in 1998 was Jewish womens issues. JBC has reached out to The Coffee House Press about advertizing in the Jewish Book World throughout the years. The Coffee House Press also advertized in the Jewish magazine ""Tikkun"". This magazine include news, short stories, articles, and reviews relating to Jewish critque of society, culture, and politics. The purpose of this Jewish magazine was to bring awarness to degradation and humble our feelings towards responsibility. It also attempts to ""heal and transform the universe"" according to Rabbi Michael Lerner. A long manuscript written by Jonathan Pearl outlines Jewsish Televimages. His lecture was widly about the topic of Jewish images on popular television. He, along with Judith Pearl, showed clips from TV shows that brought to life the history of Jewish Characters. There was a great demand for there prescence at multiple lectures and through these lectures increased awarness of Jewish culture.",media/images/Toothpaste_Coffee_House_Records_Other_Image_1.jpeg,,,,,https://aspace.lib.uiowa.edu/repositories/2/resources/3 ,"507 N. Clinton St, Iowa City, IA 52245","41.6672433,-91.53502093","McMahon, Lauren and Ollenburg, Sophie",-91.53502093,41.6672433
Zeta Beta Tau,Zeta Beta Tau Fraternity House,,Student Organization,"A community of Jewish men who believe that everyone should be treated equally, starting from the day they are initiated. There is no Zeta Beta Tau currently, but members are seeking a house in the near future. ","This fraternity stands for intellectual awareness, social responsibility, integrity, and brotherly love. They seek out equality, and by doing so thinks that pledging (and hazing) is not really needed, they also iniate any male that is of good character; they will not exclude anyone because of their religion, race or creed.They are advocates for fundraisers, Childrens Miracle Network.",media/images/Zeta_Beta_Tau_Image.png,,,,,https://aspace.lib.uiowa.edu/repositories/3/archival_objects/224849,"125 N Madison St, Iowa City, IA 52245","41.6628302,-91.53777029","Madi, Melina, Matt, Ava",-91.53777029,41.6628302
"Braverman, Rosalie",Home,,Other Person of Note,This is the home of Rosalie Braverman and her spouse in 1940,"Rosalie Braverman was an immigrant from Poland. After studying at The University of Iowa, she stayed in Iowa City and founded The Sisterhood of Agadus Achim Congregation.",media/images/Braverman_Rosalie.jpeg,,,,,https://aspace.lib.uiowa.edu/repositories/4/resources/1789,"615 S. Capitol St, Iowa City, Iowa, 52240","41.65417229,-91.53634514","Luebke, Will and Memmel, Boden",-91.53634514,41.65417229
